Date,Close/Last,Volume,Open,High,Low
03/17/2021,$11.82,13395390,$11.8,$11.88,$11.68
03/16/2021,$11.87,11311340,$11.8,$11.89,$11.57
03/15/2021,$11.85,15952860,$11.61,$11.85,$11.57
03/12/2021,$11.51,10280600,$11.46,$11.62,$11.4
03/11/2021,$11.45,34908100,$11.46,$11.65,$11.38
03/10/2021,$11.46,11980090,$11.42,$11.5,$11.365
03/09/2021,$11.34,9743347,$11.33,$11.44,$11.11
03/08/2021,$11.16,17458090,$10.88,$11.33,$10.81
03/05/2021,$10.85,20816630,$10.7,$10.89,$10.325
03/04/2021,$10.73,11703660,$10.91,$10.91,$10.515
03/03/2021,$10.75,12404230,$10.9,$10.945,$10.7
03/02/2021,$10.88,11072870,$10.99,$11.04,$10.76
03/01/2021,$10.97,16394780,$10.68,$11.135,$10.64
02/26/2021,$10.51,14149800,$10.87,$11.025,$10.51
02/25/2021,$10.88,23817010,$11.4,$11.585,$10.71
02/24/2021,$11.41,16186920,$11.28,$11.555,$11.245
02/23/2021,$11.23,13112760,$11.32,$11.44,$11.1032
02/22/2021,$11.41,41695090,$11.64,$11.64,$11.255
02/19/2021,$11.64,10602910,$11.7,$11.95,$11.57
02/18/2021,$11.76,13505540,$11.62,$11.8081,$11.46
02/17/2021,$11.71,7877462,$11.76,$11.81,$11.57
02/16/2021,$11.8,6262160,$11.8,$11.9,$11.66
02/12/2021,$11.8,8080655,$11.98,$12.01,$11.78
02/11/2021,$12,9367572,$12.1,$12.1799,$11.81
02/10/2021,$12.08,11077090,$11.82,$12.11,$11.8102
02/09/2021,$11.76,11356570,$11.91,$11.93,$11.66
02/08/2021,$11.89,5372175,$11.83,$11.92,$11.73
02/05/2021,$11.86,4818392,$12.01,$12.04,$11.83
02/04/2021,$12,13307190,$12.02,$12.03,$11.715
02/03/2021,$11.97,9846631,$11.77,$11.97,$11.7
02/02/2021,$11.73,7704669,$11.57,$11.77,$11.43
02/01/2021,$11.49,12987920,$11.43,$11.7,$11.18
01/29/2021,$11.43,11596190,$11.41,$11.67,$11.32
01/28/2021,$11.56,13277870,$10.8,$11.59,$10.79
01/27/2021,$10.79,21061500,$10.89,$10.99,$10.625
01/26/2021,$11.06,21212500,$11.35,$11.56,$10.93
01/25/2021,$11.35,14494630,$11.72,$11.79,$11.34
01/22/2021,$11.72,13161380,$11.96,$11.96,$11.54
01/21/2021,$11.99,10841040,$12.16,$12.25,$11.93
01/20/2021,$12.24,14695770,$12.05,$12.25,$11.94
01/19/2021,$12.03,11774260,$12.27,$12.31,$11.95
01/15/2021,$12.24,19752500,$11.91,$12.43,$11.9
01/14/2021,$11.83,10517170,$12.16,$12.2,$11.8
01/13/2021,$12.1,8362046,$12.2,$12.21,$12.05
01/12/2021,$12.18,8179255,$12.15,$12.23,$12.09
01/11/2021,$12.21,16973090,$12.13,$12.21,$11.99
01/08/2021,$12.24,10328990,$12.34,$12.355,$12.165
01/07/2021,$12.31,13179510,$12.35,$12.43,$12.21
01/06/2021,$12.38,10020410,$12.29,$12.45,$12.21
01/05/2021,$12.38,9191196,$12.32,$12.39,$12.21
01/04/2021,$12.21,10129540,$12.48,$12.53,$12.21
12/31/2020,$12.46,8342596,$12.26,$12.51,$12.23
12/30/2020,$12.34,9327220,$11.99,$12.37,$11.99
12/29/2020,$11.96,12177690,$12.32,$12.42,$11.9
12/28/2020,$12.32,9418584,$12.31,$12.46,$12.27
12/24/2020,$12.39,4560970,$12.5,$12.56,$12.34
12/23/2020,$12.51,17215010,$12.44,$12.65,$12.43
12/22/2020,$12.44,19207070,$12.22,$12.44,$12.11
12/21/2020,$12.26,19258260,$12.07,$12.2875,$12.02
12/18/2020,$12.27,32731230,$12.2,$12.37,$12.08
12/17/2020,$12.24,18397730,$12.17,$12.33,$12.12
12/16/2020,$12.06,16446460,$12.33,$12.38,$11.96
12/15/2020,$12.2,16291740,$11.8,$12.2,$11.57
12/14/2020,$11.85,10367780,$11.93,$12.09,$11.7903
12/11/2020,$11.94,9611709,$11.89,$12.17,$11.85
12/10/2020,$12.02,18942440,$12.47,$12.5,$11.92
12/09/2020,$12.39,20102190,$12.32,$12.45,$12.21
12/08/2020,$12.32,11739040,$12.45,$12.52,$12.275
12/07/2020,$12.53,16369190,$12.4,$12.57,$12.31
12/04/2020,$12.49,13533350,$12.66,$12.68,$12.26
12/03/2020,$12.6,13084140,$12.6,$12.68,$12.5
12/02/2020,$12.53,11593230,$12.62,$12.685,$12.4
12/01/2020,$12.69,14579740,$12.75,$12.82,$12.55
11/30/2020,$12.7,48998810,$12.73,$12.87,$12.53
11/27/2020,$12.73,10388350,$12.64,$12.91,$12.64
11/25/2020,$12.64,20485510,$12.77,$12.8,$12.42
11/24/2020,$12.82,22865950,$12.83,$12.9,$12.71
11/23/2020,$12.7,15419630,$12.77,$12.88,$12.635
11/20/2020,$12.66,17944250,$12.36,$12.76,$12.32
11/19/2020,$12.29,24446830,$12.63,$12.74,$12.2
11/18/2020,$12.65,51663620,$12.1,$12.855,$12.02
11/17/2020,$11.72,25361760,$11.75,$11.92,$11.65
11/16/2020,$11.54,17302770,$11.46,$11.73,$11.4
11/13/2020,$11.4,22669620,$11.18,$11.42,$10.96
11/12/2020,$11.1,34937280,$10.85,$11.35,$10.71
11/11/2020,$10.71,16852000,$10.49,$10.87,$10.42
11/10/2020,$10.41,10660630,$10.42,$10.48,$10.21
11/09/2020,$10.42,17776120,$10.23,$10.54,$10.23
11/06/2020,$10.15,9358814,$9.94,$10.16,$9.88
11/05/2020,$9.83,7386594,$10.25,$10.25,$9.82
11/04/2020,$10.06,10894910,$9.62,$10.126,$9.62
11/03/2020,$9.67,10010500,$9.69,$9.83,$9.55
11/02/2020,$9.65,8404866,$9.6,$9.71,$9.475
10/30/2020,$9.56,10338670,$9.71,$9.82,$9.47
10/29/2020,$9.74,11001690,$9.65,$9.84,$9.46
10/28/2020,$9.7,12064460,$9.8,$9.965,$9.7
10/27/2020,$9.91,8333920,$10.03,$10.18,$9.91
10/26/2020,$10.03,17385400,$10.18,$10.33,$10
10/23/2020,$10.25,8059477,$10.3,$10.33,$10.13
10/22/2020,$10.23,23400950,$10.5,$10.55,$10.11
10/21/2020,$10.58,17683550,$10.92,$10.95,$10.55
10/20/2020,$10.92,16127440,$10.9,$11.07,$10.735
10/19/2020,$10.82,20547220,$10.59,$10.87,$10.495
10/16/2020,$10.53,11999640,$10.51,$10.59,$10.42
10/15/2020,$10.51,9102342,$10.31,$10.59,$10.24
10/14/2020,$10.37,8399446,$10.3,$10.44,$10.205
10/13/2020,$10.32,12883290,$10.4,$10.4675,$10.29
10/12/2020,$10.45,24111390,$10.13,$10.56,$10.11
10/09/2020,$10.76,16479220,$10.56,$10.79,$10.44
10/08/2020,$10.57,18065310,$10.31,$10.61,$10.28
10/07/2020,$10.26,13083850,$10.27,$10.37,$10.165
10/06/2020,$10.15,40086540,$9.95,$10.44,$9.91
10/05/2020,$9.94,25868570,$9.93,$10,$9.85
10/02/2020,$9.9,26849560,$9.69,$10.05,$9.62
10/01/2020,$9.83,19407890,$9.5,$9.83,$9.45
09/30/2020,$9.39,18488590,$9.45,$9.63,$9.345
09/29/2020,$9.39,22465130,$9.45,$9.54,$9.33
09/28/2020,$9.45,48154900,$9.96,$9.99,$9.195
09/25/2020,$10,19752220,$9.8,$10.04,$9.73
09/24/2020,$9.79,14727080,$9.56,$9.8,$9.305
09/23/2020,$9.6,18741240,$9.83,$9.855,$9.51
09/22/2020,$9.85,21907300,$9.57,$9.9,$9.56
09/21/2020,$9.63,19741530,$9.49,$9.65,$9.24
09/18/2020,$9.71,109816700,$9.76,$9.8296,$9.44
09/17/2020,$9.78,18742220,$9.63,$9.79,$9.6
09/16/2020,$9.79,28647890,$9.83,$9.915,$9.72
09/15/2020,$9.78,27952690,$9.64,$9.98,$9.59
09/14/2020,$9.64,32861910,$9.1,$9.68,$9.095
09/11/2020,$9.06,18868020,$9,$9.11,$8.89
09/10/2020,$9,19265020,$9.06,$9.17,$8.96
09/09/2020,$9.11,14551890,$9.19,$9.31,$9.04
09/08/2020,$9.22,18593960,$9.14,$9.25,$8.98
09/04/2020,$9.19,17964240,$9.14,$9.28,$9
09/03/2020,$9.16,16843250,$9.21,$9.375,$9.13
09/02/2020,$9.27,17021830,$9.15,$9.4,$9.1002
09/01/2020,$9.12,16922380,$9.18,$9.315,$9.005
08/31/2020,$9.26,74536600,$9.12,$9.37,$9.12
08/28/2020,$9.13,13346960,$9.2,$9.27,$9.04
08/27/2020,$9.17,22956280,$8.94,$9.235,$8.92
08/26/2020,$8.87,18936340,$9.06,$9.12,$8.74
08/25/2020,$9.11,11038970,$9.14,$9.195,$8.98
08/24/2020,$9.13,15757030,$9.11,$9.16,$8.86
08/21/2020,$9.08,16442960,$8.93,$9.1,$8.78
08/20/2020,$8.93,23523830,$9.16,$9.3,$8.87
08/19/2020,$9.23,14570330,$9.25,$9.4,$9.155
08/18/2020,$9.36,14963600,$9.15,$9.38,$9.09
08/17/2020,$9.17,15415720,$9.45,$9.45,$9.16
