Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2021-03-17,217412,226306,210131,223852
2021-03-16,216112,219355,205257,217521
2021-03-15,230900,232811,211113,215974
2021-03-12,221666,222376,211909,217498
2021-03-11,218510,221934,207765,221545
2021-03-10,210435,220158,204313,218460
2021-03-09,200261,211303,200255,210340
2021-03-08,194502,201599,190275,200247
2021-03-05,183833,190377,177022,189603
2021-03-04,190542,195118,181164,183844
2021-03-03,179764,197601,179399,190605
2021-03-02,185038,188927,176874,179669
2021-03-01,169509,186203,168187,184917
2021-02-26,178511,181166,164772,173221
2021-02-25,181087,192091,176276,178612
2021-02-24,180711,190710,174463,180738
2021-02-23,200027,200793,167059,180675
2021-02-22,212156,213168,179226,200108
2021-02-19,192592,206138,188696,204780
2021-02-18,194463,195926,189375,192509
2021-02-17,182456,196245,182225,194389
2021-02-16,178425,186518,173916,182511
2021-02-15,182238,182246,170485,178395
2021-02-12,177033,181541,172128,176979
2021-02-11,167629,180540,163467,176911
2021-02-10,173107,175021,161973,167541
2021-02-09,165963,178616,165961,172906
2021-02-08,144597,167140,141910,166121
2021-02-05,140287,143652,137792,140639
2021-02-04,139077,145068,136153,140298
2021-02-03,132565,139886,131869,139055
2021-02-02,125483,134228,125093,132650
2021-02-01,123001,129609,120602,125488
2021-01-29,125652,143794,120140,128735
2021-01-28,114936,125689,112610,125684
2021-01-27,122304,123044,110357,114999
2021-01-26,121458,122653,115469,122018
2021-01-25,120044,130273,119444,121456
2021-01-22,114920,126320,107407,125233
2021-01-21,131078,133533,112220,114833
2021-01-20,137151,137259,125647,131181
2021-01-19,136929,141288,135038,137183
2021-01-18,136091,140912,130892,137045
2021-01-15,145271,148320,129325,133715
2021-01-14,138802,150166,137544,145520
2021-01-13,124653,141188,120143,139021
2021-01-12,128356,135972,121056,124797
2021-01-11,141983,142966,112754,128357
2021-01-08,146122,154755,135246,144009
2021-01-07,132417,148382,132357,145984
2021-01-06,126567,133925,123290,132482
2021-01-05,116734,127251,111222,126485
2021-01-04,123523,125290,105391,116747
2020-12-31,106999,109251,103986,108938
2020-12-30,100023,107951,99820,107060
2020-12-29,98702,100647,95003,100155
2020-12-28,97749,100859,96316,98711
2020-12-24,85987,86691,83743,86268
2020-12-23,87871,89008,83730,86034
2020-12-22,85166,87941,82626,87932
2020-12-21,85973,88910,81638,85140
2020-12-18,83140,84268,81404,83185
2020-12-17,77857,85759,77314,83322
2020-12-16,71150,78011,70538,77783
2020-12-15,70507,71447,69584,71142
2020-12-14,69983,70926,69503,70510
2020-12-11,66854,67027,64469,66009
2020-12-10,68107,68357,65365,66865
2020-12-09,67877,68279,64669,68112
2020-12-08,70667,71215,68157,68159
2020-12-07,70566,71551,69724,70664
2020-12-04,71696,71955,68833,69923
2020-12-03,70731,72079,69766,71697
2020-12-02,69850,71495,67595,70683
2020-12-01,73172,74534,68318,69804
2020-11-30,68110,74067,68095,73142
2020-11-27,64645,65669,61834,64053
2020-11-26,70354,70785,61107,64614
2020-11-25,71804,73157,69917,70275
2020-11-24,69546,73083,68375,71789
2020-11-23,70170,70358,67849,69570
2020-11-20,67321,70791,66740,70203
2020-11-19,67216,68719,65805,67350
2020-11-18,66605,69814,65184,67228
2020-11-17,63051,67570,62598,66580
2020-11-16,60371,63729,60194,63080
2020-11-13,61720,62733,60614,61403
2020-11-12,60180,62115,58937,61694
2020-11-11,58568,60848,58198,60191
2020-11-10,57837,58923,57412,58579
2020-11-09,58812,59471,56326,57812
2020-11-06,59574,61222,57731,58721
2020-11-05,54675,59569,54502,59548
2020-11-04,53581,55235,52974,54689
2020-11-03,53683,53874,52467,53594
2020-11-02,54217,54806,52257,53678
2020-10-30,53154,54086,52109,53931
2020-10-29,52302,54113,51363,53188
2020-10-28,53481,53957,50845,52305
2020-10-27,50631,53528,50549,53475
2020-10-26,50240,51326,49649,50630
2020-10-23,50890,51041,49182,49797
2020-10-22,49884,51058,49125,50886
2020-10-21,46036,50012,45901,49902
2020-10-20,45699,46422,45447,46025
2020-10-19,44472,45883,44300,45700
2020-10-16,44686,44959,43708,43949
2020-10-15,43723,45116,43679,44691
2020-10-14,43822,44240,43446,43718
2020-10-13,44113,44158,43259,43812
2020-10-12,42821,44226,42589,44101
2020-10-09,41552,42033,41259,41738
2020-10-08,40628,41843,40253,41560
2020-10-07,40434,40675,40354,40629
2020-10-06,40988,41172,40271,40445
2020-10-05,40923,41170,40741,40993
2020-10-02,40405,40803,39825,40457
2020-10-01,41371,42027,39919,40456
2020-09-30,41560,41882,41240,41372
2020-09-29,42805,42818,41103,41550
2020-09-28,41963,42967,41960,42798
2020-09-25,41548,42100,41283,41996
2020-09-24,39691,41807,39501,41546
2020-09-23,40425,40630,39388,39701
2020-09-22,40127,40524,39676,40419
2020-09-21,40948,41294,39668,40130
2020-09-18,41229,41467,40722,40917
2020-09-17,41499,41777,40643,41227
2020-09-16,40827,41751,40190,41509
2020-09-15,40160,40920,39822,40823
2020-09-14,38718,40269,38543,40151
2020-09-11,39007,39056,38423,38872
2020-09-10,38537,39222,38332,38996
2020-09-09,37930,38928,37345,38539
2020-09-08,38139,39184,37497,37948
2020-09-07,38918,39025,37260,38141
2020-09-04,40178,40271,37643,39814
2020-09-03,42395,42865,39452,40184
2020-09-02,44306,44379,41884,42394
2020-09-01,42862,44371,42517,44307
2020-08-31,42762,43384,42727,42869
2020-08-28,42123,42560,42058,42457
2020-08-27,42802,43054,41572,42102
2020-08-26,42039,43113,41889,42807
2020-08-25,43827,43924,41442,42043
2020-08-24,43633,44024,43402,43837
2020-08-21,43742,44044,43460,43668
2020-08-20,43567,43954,43389,43735
2020-08-19,44324,44351,42611,43551
2020-08-18,45676,45967,43562,44328
2020-08-17,44090,46250,43672,45674
2020-08-14,43552,44110,43382,43876
2020-08-13,42995,43688,41956,43551
2020-08-12,42425,43343,42082,43022
2020-08-11,44368,44751,41828,42447
2020-08-10,43565,45170,43560,44375
2020-08-07,43664,44439,42524,43088
2020-08-06,43686,44328,42860,43647
2020-08-05,41902,43718,41352,43676
2020-08-04,42095,42846,41401,41922
2020-08-03,41782,43120,41135,42239
2020-07-31,41313,42860,40755,42422
2020-07-30,42228,42281,40685,41304
2020-07-29,41496,42425,40937,42186
2020-07-28,41601,42576,39826,41503
2020-07-27,37431,41622,37427,41620
2020-07-24,36580,36581,36005,36300
2020-07-23,35840,36637,35821,36581
2020-07-22,36068,36235,35547,35840
2020-07-21,35732,36568,35628,36061
2020-07-20,36014,36194,35619,35733
2020-07-17,35949,36030,35696,35889
2020-07-16,36187,36286,35534,35951
2020-07-15,36270,36362,35963,36188
2020-07-14,36633,36633,35939,36271
2020-07-13,36606,36870,36416,36630
2020-07-10,36647,36703,36200,36488
2020-07-09,37253,37397,36300,36651
2020-07-08,36729,37472,36627,37252
2020-07-07,36639,36999,36484,36730
2020-07-06,35901,36918,35885,36653
2020-07-03,36340,36340,36022,36060
2020-07-02,36747,36854,35598,36309
2020-07-01,36285,36998,35963,36756
2020-06-30,36496,36597,36030,36287
2020-06-29,36329,36606,35774,36506
2020-06-26,36947,36968,36024,36469
2020-06-25,36684,37068,35750,36946
2020-06-24,37962,37988,36399,36687
2020-06-23,38201,38255,37591,37960
2020-06-22,37165,38572,37115,38200
2020-06-19,37183,37454,36688,37137
2020-06-18,37351,37573,36848,37182
2020-06-17,37540,37831,36740,37348
2020-06-16,36790,37668,36565,37544
2020-06-15,36962,37204,35344,36828
2020-06-12,37009,37559,36625,37215
2020-06-11,38549,38984,35893,37010
2020-06-10,38517,39008,38008,38548
2020-06-09,38043,38638,37622,38515
2020-06-08,38154,38411,37858,38077
2020-06-05,38250,38669,37706,38210
2020-06-04,37651,38540,37572,38255
2020-06-03,37396,37964,36799,37653
2020-06-02,38177,40961,36729,37390
2020-06-01,37767,38310,37589,38178
2020-05-29,37977,38686,37359,37661
2020-05-28,36511,38271,36492,37978
2020-05-27,35785,37205,35592,36542
2020-05-26,36787,36921,35223,35790
2020-05-25,37536,37565,35776,36792
2020-05-22,37514,38399,36949,37972
2020-05-21,39442,39539,36353,37513
2020-05-20,40324,40890,38556,39463
2020-05-19,40486,41083,39647,40320
2020-05-18,41224,41933,39968,40517
2020-05-15,41291,41539,39134,39426
2020-05-14,39506,41996,39157,41211
2020-05-13,36808,39707,36808,39478
2020-05-12,36174,37690,35901,36878
2020-05-11,36664,38584,34840,36215
2020-05-08,41540,42254,40943,41823
2020-05-07,39168,41910,38208,41542
2020-05-06,37558,39425,37328,39172
2020-05-05,37349,38080,36754,37522
2020-05-04,36905,37379,35678,37351
2020-05-01,36373,37623,35727,36331
2020-04-30,37052,39620,34936,36367
2020-04-29,32526,37465,32442,37053
2020-04-28,32403,32643,32142,32526
2020-04-27,32001,32625,31835,32405
2020-04-24,32044,32049,31156,31607
2020-04-23,29846,32442,29577,32020
2020-04-22,28809,30181,28552,29845
2020-04-21,28570,29074,28371,28805
2020-04-20,29940,30067,28252,28578
2020-04-17,29561,30103,29151,29433
2020-04-16,28048,29752,27058,29561
2020-04-15,28252,28655,27865,28031
2020-04-14,28609,28865,28200,28232
2020-04-13,29677,29743,27556,28589
2020-04-09,30590,30862,29878,30446
2020-04-08,29844,30935,29683,30591
2020-04-07,30842,31457,29442,29869
2020-04-06,28726,30968,28715,30850
2020-04-03,28813,29910,28131,28796
2020-04-02,26804,30460,26785,28833
2020-04-01,26700,26927,25944,26804
2020-03-31,26941,27205,26355,26694
2020-03-30,24124,27069,23951,26920
2020-03-27,27569,28181,27003,27259
